2025-11-04 12:45:02, mode=PVAI, level=Easy, move=1, ms=0.003
2025-11-04 12:45:03, mode=PVAI, level=Easy, move=2, ms=0.003
2025-11-04 12:45:08, mode=PVAI, level=Easy, move=1, ms=0.006
2025-11-04 12:45:08, mode=PVAI, level=Easy, move=2, ms=0.003
2025-11-04 12:45:15, mode=PVAI, level=Easy, move=1, ms=0.004
2025-11-04 12:52:05, mode=PVAI, level=Hard, move=1, ms=2.025
2025-11-04 12:52:06, mode=PVAI, level=Hard, move=2, ms=0.051
2025-11-04 12:52:10, mode=PVAI, level=Hard, move=3, ms=0.003
2025-11-04 12:52:14, mode=PVAI, level=Hard, move=1, ms=1.867
2025-11-04 12:52:14, mode=PVAI, level=Hard, move=2, ms=0.051
2025-11-04 12:52:15, mode=PVAI, level=Hard, move=3, ms=0.007
2025-11-04 12:52:16, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 12:52:20, mode=PVAI, level=Hard, move=1, ms=1.950
2025-11-04 12:52:20, mode=PVAI, level=Hard, move=2, ms=0.034
2025-11-04 12:52:21, mode=PVAI, level=Hard, move=3, ms=0.005
2025-11-04 12:52:21, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 12:52:22, mode=PVAI, level=Hard, move=1, ms=1.786
2025-11-04 12:52:23, mode=PVAI, level=Hard, move=2, ms=0.059
2025-11-04 12:52:23, mode=PVAI, level=Hard, move=3, ms=0.005
2025-11-04 12:52:24, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 12:52:25, mode=PVAI, level=Hard, move=1, ms=2.040
2025-11-04 12:52:26, mode=PVAI, level=Hard, move=2, ms=0.063
2025-11-04 12:52:26, mode=PVAI, level=Hard, move=3, ms=0.004
2025-11-04 12:52:27, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 12:52:28, mode=PVAI, level=Hard, move=1, ms=2.409
2025-11-04 12:52:28, mode=PVAI, level=Hard, move=2, ms=0.035
2025-11-04 12:52:29, mode=PVAI, level=Hard, move=3, ms=0.005
2025-11-04 12:52:30, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 12:52:31, mode=PVAI, level=Hard, move=1, ms=2.216
2025-11-04 12:52:32, mode=PVAI, level=Hard, move=2, ms=0.033
2025-11-04 12:52:32, mode=PVAI, level=Hard, move=3, ms=0.003
2025-11-04 12:52:33, mode=PVAI, level=Hard, move=1, ms=2.125
2025-11-04 12:52:33, mode=PVAI, level=Hard, move=2, ms=0.033
2025-11-04 12:52:34, mode=PVAI, level=Hard, move=3, ms=0.005
2025-11-04 12:52:34, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 12:52:35, mode=PVAI, level=Hard, move=1, ms=1.969
2025-11-04 12:52:37, mode=PVAI, level=Hard, move=2, ms=0.052
2025-11-04 12:52:38, mode=PVAI, level=Hard, move=3, ms=0.003
2025-11-04 12:52:39, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 12:53:28, mode=PVAI, level=Hard, move=1, ms=1.887
2025-11-04 13:08:23, mode=PVAI, level=Easy, move=1, ms=0.005
2025-11-04 13:08:24, mode=PVAI, level=Easy, move=2, ms=0.004
2025-11-04 13:08:24, mode=PVAI, level=Easy, move=3, ms=0.004
2025-11-04 13:08:25, mode=PVAI, level=Easy, move=4, ms=0.004
2025-11-04 13:08:27, mode=PVAI, level=Easy, move=1, ms=0.004
2025-11-04 13:08:28, mode=PVAI, level=Easy, move=2, ms=0.004
2025-11-04 13:08:29, mode=PVAI, level=Easy, move=3, ms=0.003
2025-11-04 13:08:32, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 13:08:32, mode=PVAI, level=Easy, move=2, ms=0.004
2025-11-04 13:08:32, mode=PVAI, level=Easy, move=3, ms=0.003
2025-11-04 13:08:33, mode=PVAI, level=Easy, move=4, ms=0.003
2025-11-04 13:08:34, mode=PVAI, level=Easy, move=1, ms=0.006
2025-11-04 13:08:34, mode=PVAI, level=Easy, move=2, ms=0.005
2025-11-04 13:08:35, mode=PVAI, level=Easy, move=3, ms=0.002
2025-11-04 13:08:36, mode=PVAI, level=Easy, move=1, ms=0.003
2025-11-04 13:08:36, mode=PVAI, level=Easy, move=2, ms=0.002
2025-11-04 13:08:36, mode=PVAI, level=Easy, move=3, ms=0.005
2025-11-04 13:08:38, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 13:08:38, mode=PVAI, level=Easy, move=2, ms=0.002
2025-11-04 13:08:39, mode=PVAI, level=Easy, move=1, ms=0.006
2025-11-04 13:08:39, mode=PVAI, level=Easy, move=2, ms=0.003
2025-11-04 13:08:41, mode=PVAI, level=Easy, move=1, ms=0.004
2025-11-04 13:08:41, mode=PVAI, level=Easy, move=2, ms=0.003
2025-11-04 13:08:41, mode=PVAI, level=Easy, move=3, ms=0.004
2025-11-04 13:08:41, mode=PVAI, level=Easy, move=4, ms=0.003
2025-11-04 13:08:42, mode=PVAI, level=Easy, move=1, ms=0.004
2025-11-04 13:08:42, mode=PVAI, level=Easy, move=2, ms=0.006
2025-11-04 13:08:42, mode=PVAI, level=Easy, move=3, ms=0.003
2025-11-04 13:08:43, mode=PVAI, level=Easy, move=1, ms=0.003
2025-11-04 13:08:44, mode=PVAI, level=Easy, move=2, ms=0.009
2025-11-04 13:08:44, mode=PVAI, level=Easy, move=3, ms=0.014
2025-11-04 13:08:44, mode=PVAI, level=Easy, move=4, ms=0.002
2025-11-04 13:08:45, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 13:08:45, mode=PVAI, level=Easy, move=2, ms=0.002
2025-11-04 13:08:46, mode=PVAI, level=Easy, move=3, ms=0.010
2025-11-04 13:12:25, mode=PVAI, level=Hard, move=1, ms=1.913
2025-11-04 13:12:25, mode=PVAI, level=Hard, move=2, ms=0.074
2025-11-04 13:12:26, mode=PVAI, level=Hard, move=3, ms=0.003
2025-11-04 13:12:28, mode=PVAI, level=Hard, move=1, ms=2.126
2025-11-04 13:12:28, mode=PVAI, level=Hard, move=2, ms=0.047
2025-11-04 13:12:29, mode=PVAI, level=Hard, move=3, ms=0.004
2025-11-04 13:12:30, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 13:12:31, mode=PVAI, level=Hard, move=1, ms=1.769
2025-11-04 13:12:31, mode=PVAI, level=Hard, move=2, ms=0.065
2025-11-04 13:12:32, mode=PVAI, level=Hard, move=3, ms=0.006
2025-11-04 13:12:32, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 13:12:34, mode=PVAI, level=Hard, move=1, ms=2.063
2025-11-04 13:12:34, mode=PVAI, level=Hard, move=2, ms=0.082
2025-11-04 13:12:35, mode=PVAI, level=Hard, move=3, ms=0.005
2025-11-04 13:12:36, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 13:12:36, mode=PVAI, level=Hard, move=1, ms=1.956
2025-11-04 13:12:37, mode=PVAI, level=Hard, move=2, ms=0.057
2025-11-04 13:12:37, mode=PVAI, level=Hard, move=3, ms=0.006
2025-11-04 13:12:38, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 13:12:39, mode=PVAI, level=Hard, move=1, ms=1.903
2025-11-04 13:12:39, mode=PVAI, level=Hard, move=2, ms=0.041
2025-11-04 13:12:40, mode=PVAI, level=Hard, move=3, ms=0.004
2025-11-04 13:12:40, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 13:12:41, mode=PVAI, level=Hard, move=1, ms=1.957
2025-11-04 13:12:41, mode=PVAI, level=Hard, move=2, ms=0.043
2025-11-04 13:12:42, mode=PVAI, level=Hard, move=3, ms=0.006
2025-11-04 13:12:43, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 13:12:44, mode=PVAI, level=Hard, move=1, ms=2.207
2025-11-04 13:12:44, mode=PVAI, level=Hard, move=2, ms=0.076
2025-11-04 13:12:46, mode=PVAI, level=Hard, move=3, ms=0.004
2025-11-04 13:12:46, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 13:13:54, mode=PVAI, level=Hard, move=1, ms=1.870
2025-11-04 13:13:54, mode=PVAI, level=Hard, move=2, ms=0.034
2025-11-04 13:13:54, mode=PVAI, level=Hard, move=3, ms=0.004
2025-11-04 13:13:56, mode=PVAI, level=Easy, move=1, ms=0.003
2025-11-04 13:13:57, mode=PVAI, level=Easy, move=2, ms=0.003
