2025-11-26 20:02:57, mode=PVAI, level=Easy, move=0, ms=0.071, depth=1, mem=67636.00KB
2025-11-26 20:02:57, mode=PVAI, level=Easy, move=0, ms=0.022, depth=1, mem=67660.00KB
2025-11-26 20:02:57, mode=PVAI, level=Easy, move=0, ms=0.005, depth=1, mem=67668.00KB
2025-11-26 20:03:00, mode=PVAI, level=Hard, move=0, ms=1.973, depth=0, mem=72016.00KB
2025-11-26 20:03:00, mode=PVAI, level=Hard, move=0, ms=0.050, depth=0, mem=72016.00KB
2025-11-26 20:03:01, mode=PVAI, level=Hard, move=0, ms=0.004, depth=0, mem=72000.00KB
2025-11-26 20:03:03, mode=PVAI, level=Medium, move=0, ms=0.002, depth=3, mem=72208.00KB
2025-11-26 20:03:04, mode=PVAI, level=Medium, move=0, ms=0.002, depth=3, mem=70164.00KB
2025-11-26 20:03:04, mode=PVAI, level=Medium, move=0, ms=0.002, depth=3, mem=70164.00KB
2025-11-26 20:05:05, mode=PVAI, level=Easy, move=0, ms=0.089, depth=1, mem=70656.00KB
2025-11-26 20:05:05, mode=PVAI, level=Easy, move=0, ms=0.023, depth=1, mem=70656.00KB
2025-11-26 20:05:06, mode=PVAI, level=Easy, move=0, ms=0.004, depth=1, mem=70656.00KB
2025-11-26 20:05:07, mode=PVAI, level=Easy, move=0, ms=0.070, depth=1, mem=70656.00KB
2025-11-26 20:05:07, mode=PVAI, level=Easy, move=0, ms=0.022, depth=1, mem=70656.00KB
2025-11-26 20:05:08, mode=PVAI, level=Easy, move=0, ms=0.003, depth=1, mem=70656.00KB
2025-11-26 20:05:08, mode=PVAI, level=Easy, move=0, ms=0.077, depth=1, mem=70656.00KB
2025-11-26 20:05:08, mode=PVAI, level=Easy, move=0, ms=0.024, depth=1, mem=70656.00KB
2025-11-26 20:05:08, mode=PVAI, level=Easy, move=0, ms=0.004, depth=1, mem=70656.00KB
2025-11-26 20:05:10, mode=PVAI, level=Easy, move=0, ms=0.077, depth=1, mem=70656.00KB
2025-11-26 20:05:11, mode=PVAI, level=Easy, move=0, ms=0.020, depth=1, mem=70656.00KB
2025-11-26 20:05:12, mode=PVAI, level=Easy, move=0, ms=0.004, depth=1, mem=70656.00KB
2025-11-26 20:05:12, mode=PVAI, level=Easy, move=0, ms=0.001, depth=1, mem=70656.00KB
2025-11-26 20:05:17, mode=PVAI, level=Medium, move=0, ms=0.002, depth=3, mem=70656.00KB
2025-11-26 20:05:17, mode=PVAI, level=Medium, move=0, ms=0.002, depth=3, mem=70656.00KB
2025-11-26 20:05:18, mode=PVAI, level=Medium, move=0, ms=0.003, depth=3, mem=70656.00KB
2025-11-26 20:05:19, mode=PVAI, level=Medium, move=0, ms=0.001, depth=3, mem=70656.00KB
2025-11-26 20:05:19, mode=PVAI, level=Medium, move=0, ms=0.003, depth=3, mem=70656.00KB
2025-11-26 20:05:19, mode=PVAI, level=Medium, move=0, ms=0.002, depth=3, mem=70656.00KB
2025-11-26 20:05:20, mode=PVAI, level=Medium, move=0, ms=0.002, depth=3, mem=70656.00KB
2025-11-26 20:05:21, mode=PVAI, level=Medium, move=0, ms=0.002, depth=3, mem=70656.00KB
2025-11-26 20:05:23, mode=PVAI, level=Medium, move=0, ms=0.002, depth=3, mem=70656.00KB
2025-11-26 20:05:24, mode=PVAI, level=Medium, move=0, ms=0.002, depth=3, mem=70656.00KB
2025-11-26 20:05:26, mode=PVAI, level=Medium, move=0, ms=0.002, depth=3, mem=70656.00KB
2025-11-26 20:05:26, mode=PVAI, level=Medium, move=0, ms=0.002, depth=3, mem=70656.00KB
2025-11-26 20:05:27, mode=PVAI, level=Medium, move=0, ms=0.002, depth=3, mem=70656.00KB
2025-11-26 20:05:29, mode=PVAI, level=Hard, move=0, ms=1.934, depth=0, mem=70656.00KB
2025-11-26 20:05:29, mode=PVAI, level=Hard, move=0, ms=0.043, depth=0, mem=70656.00KB
2025-11-26 20:05:29, mode=PVAI, level=Hard, move=0, ms=0.002, depth=0, mem=70656.00KB
2025-11-26 20:05:30, mode=PVAI, level=Hard, move=0, ms=1.970, depth=0, mem=70656.00KB
2025-11-26 20:05:30, mode=PVAI, level=Hard, move=0, ms=0.052, depth=0, mem=70656.00KB
2025-11-26 20:05:31, mode=PVAI, level=Hard, move=0, ms=0.004, depth=0, mem=70656.00KB
